14922 80 02 01 00 00 .1
14922 80 02 01 00 30 .1
14922 80 02 01 14 00 .1
14922 80 02 01 15 00 .1
14922 80 02 01 18 00 .1
14922 80 02 01 19 00 .1
14922 80 02 23 12 30 .1
14922 80 02 23 12 45 .1
14922 80 02 23 15 00 .1
14922 80 02 23 18 00 .1
14922 80 02 23 19 00 .1
14922 80 02 24 17 00 .1
14922 80 02 24 18 00 .1
14922 80 02 25 12 00 .1
14922 80 02 26 12 00 .1
14922 80 02 27 12 00 .1
14922 80 02 27 15 00 .1
14922 80 02 27 15 30 .1
14922 80 03 04 12 00 .05
14922 80 03 04 12 30 .05
14922 80 03 04 14 00 .05
14922 80 03 05 00 00 .05
14922 80 03 05 00 30 .05
