DLY08002502SNOWTI19560899990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11099-99999M 1118 00000 11218 00000 11399-99999M 1499-99999M 1599-99999M 1618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502PRCPHI19560899990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00046 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00160 12118 00000 12218 00069 12318 00000 12418 00000 12518 00000 126
DLY08002502TOBS F19560899990310118 00087 10218 00088 10318 00082 10418 00084 10518 00088 10618 00087 10718 00089 10818 00092 10918 00089 11018 00090 11118 00081 11218 00085 11318 00084 11418 00089 11518 00089 11618 00085 11718 00084 11818 00089 11918 00087 12018 00087 12118 00088 12218 00084 12318 00084 12418 00087 12518 00085 126
DLY08002502TMIN F19560899990310118 00071 10218 00071 10318 00071 10418 00071 10518 00071 10618 00071 10718 00071 10818 00071 10918 00071 11018 00071 11118 00071 11218 00072 11318 00071 11418 00072 11518 00075 11618 00072 11718 00071 11818 00069 11918 00070 12018 00071 12118 00070 12218 00068 12318 00069 12418 00071 12518 00071 126
DLY08002502TMAX F19560899990310118 00089 10218 00090 10318 00092 10418 00090 10518 00089 10618 00088 10718 00092 10818 00094 10918 00097 11018 00091 11118 00091 11218 00086 11318 00094 11418 00101 11518 00091 11618 00089 11718 00092 11818 00090 11918 00089 12018 00089 12118 00088 12218 00089 12318 00100 12418 00096 12518 00096 126
DLY08002502SNWD I19560899990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11099-99999M 1118 00000 11218 00000 11399-99999M 1499-99999M 1599-99999M 1618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502DYSWNA19560899990310199-99999M 0299-99999M 0318 00700 10418 00200 10599-99999M 0699-99999M 0799-99999M 0899-99999M 0999-99999M 1018 00700 11118 00700 11299-99999M 1318 00700 11499-99999M 1599-99999M 1618 00700 11799-99999M 1899-99999M 1999-99999M 2099-99999M 2118 00700 12299-99999M 2399-99999M 2418 00700 12599-99999M 26
DLY08002502SNWD I19560999990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502SNOWTI19560999990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502PRCPHI19560999990310118 00005 10218 00000 10318 00000 10418 00000 10518 00037 10618 00060 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00069 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00113 126
DLY08002502TOBS F19560999990310118 00085 10218 00083 10318 00085 10418 00086 10518 00082 10618 00076 10718 00084 10818 00076 10918 00073 11018 00079 11118 00082 11218 00086 11318 00086 11418 00083 11518 00083 11618 00082 11718 00071 11818 00079 11918 00082 12018 00081 12118 00084 12218 00085 12318 00078 12418 00080 12518 00074 126
DLY08002502TMIN F19560999990310118 00070 10218 00070 10318 00068 10418 00069 10518 00070 10618 00071 10718 00071 10818 00070 10918 00066 11018 00059 11118 00060 11218 00061 11318 00059 11418 00059 11518 00063 11618 00066 11718 00069 11818 00066 11918 00067 12018 00056 12118 00067 12218 00068 12318 00070 12418 00072 12518 00071 126
DLY08002502TMAX F19560999990310118 00092 10218 00091 10318 00086 10418 00090 10518 00088 10618 00090 10718 00091 10818 00085 10918 00078 11018 00080 11118 00086 11218 00089 11318 00094 11418 00089 11518 00086 11618 00085 11718 00084 11818 00083 11918 00084 12018 00085 12118 00087 12218 00090 12318 00090 12418 00080 12518 00081 126
DLY08002502TMAX F19561099990310118 00089 10218 00084 10318 00081 10418 00081 10518 00083 10618 00081 10718 00081 10818 00086 10918 00087 11018 00085 11118 00081 11218 00078 11318 00082 11418 00083 11518 00080 11618 00082 11718 00078 11818 00079 11918 00080 12018 00075 12118 00080 12218 00076 12318 00081 12418 00083 12518 00078 126
DLY08002502SNWD I19561099990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502SNOWTI19561099990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502PRCPHI19561099990310118 00000 10218 00000 10318 00030 10418 00160 10518 00000 10618 00205 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00001 12118 00087 12218 00087 12318 00000 12418 00000 12518 00000 126
DLY08002502TOBS F19561099990310118 00082 10218 00077 10318 00079 10418 00076 10518 00080 10618 00070 10718 00080 10818 00080 10918 00084 11018 00078 11118 00076 11218 00070 11318 00078 11418 00077 11518 00077 11618 00078 11718 00078 11818 00078 11918 00074 12018 00070 12118 00075 12218 00075 12318 00075 12418 00075 12518 00070 126
DLY08002502TMIN F19561099990310118 00064 10218 00064 10318 00068 10418 00068 10518 00066 10618 00065 10718 00062 10818 00060 10918 00067 11018 00061 11118 00064 11218 00053 11318 00059 11418 00061 11518 00061 11618 00062 11718 00064 11818 00055 11918 00059 12018 00056 12118 00066 12218 00062 12318 00059 12418 00059 12518 00059 126
DLY08002502SNOWTI19561199990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00000 12318 00000 12418 00000 12518 00000 126
DLY08002502PRCPHI19561199990310118 00000 10218 00000 10318 00000 10418 00000 10518 00000 10618 00000 10718 00000 10818 00000 10918 00000 11018 00000 11118 00000 11218 00000 11318 00000 11418 00000 11518 00000 11618 00000 11718 00000 11818 00000 11918 00000 12018 00000 12118 00000 12218 00015 12318 00000 12418 00000 12518 00000 126
DLY08002502TOBS F19561199990310118 00071 10218 00081 10318 00077 10418 00070 10518 00074 10618 00067 10718 00066 10818 00072 10918 00052 11018 00058 11118 00062 11218 00067 11318 00068 11418 00069 11518 00073 11618 00071 11718 00070 11818 00071 11918 00072 12018 00074 12118 00068 12218 00046 12318 00051 12418 00050 12518 00056 126
DLY08002502TMIN F19561199990310118 00057 10218 00053 10318 00060 10418 00063 10518 00057 10618 00051 10718 00055 10818 00059 10918 00040 11018 00027 11118 00035 11218 00043 11318 00044 11418 00044 11518 00054 11618 00056 11718 00054 11818 00053 11918 00047 12018 00057 12118 00057 12218 00040 12318 00026 12418 00033 12518 00032 126
DLY08002502TMAX F19561199990310118 00073 10218 00085 10318 00083 10418 00079 10518 00078 10618 00075 10718 00077 10818 00079 10918 00071 11018 00060 11118 00067 11218 00071 11318 00073 11418 00074 11518 00078 11618 00076 11718 00075 11818 00075 11918 00077 12018 00076 12118 00075 12218 00069 12318 00055 12418 00065 12518 00058 126
